Country,Total population (MM),Smartphone owners (MM),Smartphone Instagram users (MM),Total Instagram users (MM),Total Instagram users (normalised)
Afghanistan,0,0,0,0,0
Albania,0,0,0,0,0
Algeria,0,0,0,0,0
Andorra,0,0,0,0,0
Angola,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0
Argentina,45.2,23.6,,22,49
Armenia,0,0,0,0,0
Australia,0,0,0,0,0
Austria,0,0,0,0,0
Azerbaijan,0,0,0,0,0
Bahamas,0,0,0,0,0
Bahrain,0,0,0,0,0
Bangladesh,0,0,0,0,0
Barbados,0,0,0,0,0
Belarus,0,0,0,0,0
Belgium,0,0,0,0,0
Belize,0,0,0,0,0
Benin,0,0,0,0,0
Bhutan,0,0,0,0,0
Bolivia,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0
Botswana,0,0,0,0,0
Brazil,212,96.9,77,110,52
Brunei,0,0,0,0,0
Bulgaria,0,0,0,0,0
Burkina Faso,0,0,0,0,0
Burma,0,0,0,0,0
Burundi,0,0,0,0,0
Cabo Verde,0,0,0,0,0
Cambodia,0,0,0,0,0
Cameroon,0,0,0,0,0
Canada,37.8,27.5,,18,48
Central African Republic,0,0,0,0,0
Chad,0,0,0,0,0
Chile,0,0,0,0,0
China,0,0,0,0,0
Colombia,51,20.3,,18,35
Comoros,0,0,0,0,0
Congo (Kinshasa),0,0,0,0,0
Costa Rica,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0
Croatia,0,0,0,0,0
Cuba,0,0,0,0,0
Cyprus,0,0,0,0,0
Czechia,0,0,0,0,0
Denmark,0,0,0,0,0
Djibouti,0,0,0,0,0
Dominica,0,0,0,0,0
Dominican Republic,0,0,0,0,0
Ecuador,0,0,0,0,0
Egypt,102.3,30.5,,16,16
El Salvador,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0
Eritrea,0,0,0,0,0
Estonia,0,0,0,0,0
Eswatini,0,0,0,0,0
Ethiopia,0,0,0,0,0
Fiji,0,0,0,0,0
Finland,0,0,0,0,0
France,65.2,50.7,,24,37
Gabon,0,0,0,0,0
Gambia,0,0,0,0,0
Georgia,0,0,0,0,0
Germany,82.4,65.9,21,27,33
Ghana,0,0,0,0,0
Greece,0,0,0,0,0
Grenada,0,0,0,0,0
Guatemala,0,0,0,0,0
Guinea,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0
Guyana,0,0,0,0,0
Haiti,0,0,0,0,0
Holy See,0,0,0,0,0
Honduras,0,0,0,0,0
Hungary,0,0,0,0,0
Iceland,0,0,0,0,0
India,1370,346,80,180,13
Indonesia,270,83.9,63,93,34
Iran,0,0,0,0,0
Iraq,0,0,0,0,0
Ireland,0,0,0,0,0
Israel,0,0,0,0,0
Italy,60.4,36,,25,41
Jamaica,0,0,0,0,0
Japan,127,72.6,29,48,38
Jordan,0,0,0,0,0
Kazakhstan,0,0,0,0,0
Kenya,0,0,0,0,0
"Korea, South",51.3,36.1,,20,39
Kosovo,0,0,0,0,0
Kuwait,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0
Laos,0,0,0,0,0
Latvia,0,0,0,0,0
Lebanon,0,0,0,0,0
Lesotho,0,0,0,0,0
Liberia,0,0,0,0,0
Libya,0,0,0,0,0
Liechtenstein,0,0,0,0,0
Lithuania,0,0,0,0,0
Luxembourg,0,0,0,0,0
Madagascar,0,0,0,0,0
Malawi,0,0,0,0,0
Malaysia,0,0,0,0,0
Maldives,0,0,0,0,0
Mali,0,0,0,0,0
Malta,0,0,0,0,0
Mauritania,0,0,0,0,0
Mauritius,0,0,0,0,0
Mexico,132,65.6,24,29,22
Moldova,0,0,0,0,0
Monaco,0,0,0,0,0
Mongolia,0,0,0,0,0
Montenegro,0,0,0,0,0
Morocco,0,0,0,0,0
Mozambique,0,0,0,0,0
Namibia,0,0,0,0,0
Nepal,0,0,0,0,0
Netherlands,0,0,0,0,0
New Zealand,0,0,0,0,0
Nicaragua,0,0,0,0,0
Niger,0,0,0,0,0
Nigeria,0,0,0,0,0
North Macedonia,0,0,0,0,0
Norway,0,0,0,0,0
Oman,0,0,0,0,0
Pakistan,0,0,0,0,0
Panama,0,0,0,0,0
Papua New Guinea,0,0,0,0,0
Paraguay,0,0,0,0,0
Peru,0,0,0,0,0
Philippines,110,36.3,,18,16
Poland,0,0,0,0,0
Portugal,0,0,0,0,0
Qatar,0,0,0,0,0
Romania,0,0,0,0,0
Russia,144,95.4,44,61,42
Rwanda,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0
Saint Lucia,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,0,0,0
San Marino,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0
Saudi Arabia,0,0,0,0,0
Senegal,0,0,0,0,0
Serbia,0,0,0,0,0
Seychelles,0,0,0,0,0
Sierra Leone,0,0,0,0,0
Singapore,0,0,0,0,0
Slovakia,0,0,0,0,0
Slovenia,0,0,0,0,0
Somalia,0,0,0,0,0
South Africa,0,0,0,0,0
South Sudan,0,0,0,0,0
Spain,46.8,34.5,,21,45
Sri Lanka,0,0,0,0,0
Sudan,0,0,0,0,0
Suriname,0,0,0,0,0
Sweden,0,0,0,0,0
Switzerland,0,0,0,0,0
Syria,0,0,0,0,0
Taiwan,0,0,0,0,0
Tajikistan,0,0,0,0,0
Tanzania,0,0,0,0,0
Thailand,70,30.2,,19,27
Timor-Leste,0,0,0,0,0
Togo,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0
Tunisia,0,0,0,0,0
Turkey,83,44.8,38,50,60
Uganda,0,0,0,0,0
Ukraine,0,0,0,0,0
United Arab Emirates,0,0,0,0,0
United Kingdom,67,55.5,24,37,55
Uruguay,0,0,0,0,0
United States of America,329,260,120,170,52
Uzbekistan,0,0,0,0,0
Venezuela,0,0,0,0,0
Vietnam,0,0,0,0,0
West Bank and Gaza,0,0,0,0,0
Western Sahara,0,0,0,0,0
Yemen,0,0,0,0,0
Zambia,0,0,0,0,0
Zimbabwe,0,0,0,0,0
